"","act_name","act_type","timestamps","ele","week_lub","year_lub","geometry"
"1","Jacket","running",2023-10-16 06:08:02,5,42,2023,c(4.853, 52.363185)
"2","Jacket","running",2023-10-16 06:08:03,5,42,2023,c(4.853031, 52.363189)
"3","Jacket","running",2023-10-16 06:08:05,5,42,2023,c(4.853056, 52.3632)
"4","Jacket","running",2023-10-16 06:08:06,4.9,42,2023,c(4.85306, 52.363227)
"5","Jacket","running",2023-10-16 06:08:07,4.9,42,2023,c(4.853055, 52.363237)
"6","Jacket","running",2023-10-16 06:08:08,4.9,42,2023,c(4.853006, 52.363261)
"7","Jacket","running",2023-10-16 06:08:09,4.8,42,2023,c(4.852985, 52.363266)
"8","Jacket","running",2023-10-16 06:08:10,4.8,42,2023,c(4.852944, 52.363268)
"9","Jacket","running",2023-10-16 06:08:12,4.8,42,2023,c(4.852893, 52.363267)
"10","Jacket","running",2023-10-16 06:08:13,4.7,42,2023,c(4.852837, 52.363263)
"11","Jacket","running",2023-10-16 06:08:14,4.7,42,2023,c(4.852781, 52.363263)
"12","Jacket","running",2023-10-16 06:08:15,4.7,42,2023,c(4.852727, 52.363267)
"13","Jacket","running",2023-10-16 06:08:16,4.6,42,2023,c(4.852658, 52.363275)
"14","Jacket","running",2023-10-16 06:08:17,4.6,42,2023,c(4.852631, 52.363278)
"15","Jacket","running",2023-10-16 06:08:18,4.6,42,2023,c(4.852579, 52.363282)
"16","Jacket","running",2023-10-16 06:08:19,4.6,42,2023,c(4.852528, 52.36328)
"17","Jacket","running",2023-10-16 06:08:21,4.6,42,2023,c(4.852472, 52.363282)
"18","Jacket","running",2023-10-16 06:08:22,4.6,42,2023,c(4.852423, 52.36328)
"19","Jacket","running",2023-10-16 06:08:23,4.6,42,2023,c(4.852368, 52.363276)
"20","Jacket","running",2023-10-16 06:08:24,4.6,42,2023,c(4.852317, 52.363272)
"21","Jacket","running",2023-10-16 06:08:25,4.6,42,2023,c(4.852255, 52.363264)
"22","Jacket","running",2023-10-16 06:08:26,4.6,42,2023,c(4.852233, 52.363262)
"23","Jacket","running",2023-10-16 06:08:27,4.6,42,2023,c(4.852177, 52.363254)
"24","Jacket","running",2023-10-16 06:08:28,4.6,42,2023,c(4.852125, 52.363249)
"25","Jacket","running",2023-10-16 06:08:30,4.6,42,2023,c(4.85207, 52.363239)
"26","Jacket","running",2023-10-16 06:08:31,4.6,42,2023,c(4.852027, 52.363228)
"27","Jacket","running",2023-10-16 06:08:32,4.7,42,2023,c(4.851983, 52.363219)
"28","Jacket","running",2023-10-16 06:08:33,4.7,42,2023,c(4.851931, 52.36321)
"29","Jacket","running",2023-10-16 06:08:34,4.7,42,2023,c(4.851868, 52.363205)
"30","Jacket","running",2023-10-16 06:08:35,4.7,42,2023,c(4.851841, 52.363204)
"31","Jacket","running",2023-10-16 06:08:36,4.7,42,2023,c(4.851794, 52.363203)
"32","Jacket","running",2023-10-16 06:08:37,4.6,42,2023,c(4.851751, 52.3632)
"33","Jacket","running",2023-10-16 06:08:39,4.6,42,2023,c(4.851694, 52.363196)
"34","Jacket","running",2023-10-16 06:08:40,4.6,42,2023,c(4.851645, 52.363191)
"35","Jacket","running",2023-10-16 06:08:41,4.6,42,2023,c(4.85159, 52.363184)
"36","Jacket","running",2023-10-16 06:08:42,4.6,42,2023,c(4.851538, 52.363177)
"37","Jacket","running",2023-10-16 06:08:43,4.6,42,2023,c(4.851484, 52.36317)
"38","Jacket","running",2023-10-16 06:08:44,4.6,42,2023,c(4.851416, 52.363167)
"39","Jacket","running",2023-10-16 06:08:45,4.6,42,2023,c(4.85136, 52.363164)
"40","Jacket","running",2023-10-16 06:08:46,4.6,42,2023,c(4.851309, 52.363161)
"41","Jacket","running",2023-10-16 06:08:48,4.6,42,2023,c(4.851243, 52.363161)
"42","Jacket","running",2023-10-16 06:08:49,4.6,42,2023,c(4.851187, 52.363159)
"43","Jacket","running",2023-10-16 06:08:50,4.6,42,2023,c(4.851131, 52.363158)
"44","Jacket","running",2023-10-16 06:08:51,4.6,42,2023,c(4.851075, 52.363159)
"45","Jacket","running",2023-10-16 06:08:52,4.6,42,2023,c(4.851011, 52.363162)
"46","Jacket","running",2023-10-16 06:08:53,4.7,42,2023,c(4.85096, 52.363167)
"47","Jacket","running",2023-10-16 06:08:54,4.7,42,2023,c(4.850911, 52.363174)
"48","Jacket","running",2023-10-16 06:08:56,4.7,42,2023,c(4.850854, 52.363179)
"49","Jacket","running",2023-10-16 06:08:57,4.7,42,2023,c(4.850802, 52.363183)
"50","Jacket","running",2023-10-16 06:08:58,4.7,42,2023,c(4.850752, 52.363187)
"51","Jacket","running",2023-10-16 06:08:59,4.7,42,2023,c(4.850703, 52.363192)
"52","Jacket","running",2023-10-16 06:09:00,4.7,42,2023,c(4.850653, 52.363196)
"53","Jacket","running",2023-10-16 06:09:01,4.7,42,2023,c(4.850601, 52.363197)
"54","Jacket","running",2023-10-16 06:09:02,4.7,42,2023,c(4.850556, 52.363201)
"55","Jacket","running",2023-10-16 06:09:03,4.7,42,2023,c(4.850506, 52.363203)
"56","Jacket","running",2023-10-16 06:09:04,4.7,42,2023,c(4.85045, 52.363205)
"57","Jacket","running",2023-10-16 06:09:06,4.8,42,2023,c(4.850399, 52.363211)
"58","Jacket","running",2023-10-16 06:09:07,4.8,42,2023,c(4.850353, 52.363211)
"59","Jacket","running",2023-10-16 06:09:08,4.8,42,2023,c(4.850307, 52.363213)
"60","Jacket","running",2023-10-16 06:09:09,4.8,42,2023,c(4.850254, 52.363213)
"61","Jacket","running",2023-10-16 06:09:10,4.8,42,2023,c(4.850203, 52.363213)
"62","Jacket","running",2023-10-16 06:09:11,4.8,42,2023,c(4.850142, 52.363214)
"63","Jacket","running",2023-10-16 06:09:12,4.9,42,2023,c(4.850078, 52.363207)
"64","Jacket","running",2023-10-16 06:09:13,4.9,42,2023,c(4.850049, 52.363204)
"65","Jacket","running",2023-10-16 06:09:14,4.9,42,2023,c(4.85001, 52.363192)
"66","Jacket","running",2023-10-16 06:09:16,5,42,2023,c(4.849968, 52.363171)
"67","Jacket","running",2023-10-16 06:09:17,5.1,42,2023,c(4.849931, 52.363152)
"68","Jacket","running",2023-10-16 06:09:18,5.1,42,2023,c(4.849873, 52.363135)
"69","Jacket","running",2023-10-16 06:09:19,5.2,42,2023,c(4.849829, 52.363125)
"70","Jacket","running",2023-10-16 06:09:20,5.2,42,2023,c(4.849779, 52.363122)
"71","Jacket","running",2023-10-16 06:09:21,5.2,42,2023,c(4.849733, 52.363118)
"72","Jacket","running",2023-10-16 06:09:23,5.3,42,2023,c(4.849684, 52.363112)
"73","Jacket","running",2023-10-16 06:09:24,5.4,42,2023,c(4.849632, 52.363108)
"74","Jacket","running",2023-10-16 06:09:25,5.4,42,2023,c(4.849579, 52.363107)
"75","Jacket","running",2023-10-16 06:09:26,5.5,42,2023,c(4.849529, 52.363108)
"76","Jacket","running",2023-10-16 06:09:27,5.5,42,2023,c(4.849467, 52.363108)
"77","Jacket","running",2023-10-16 06:09:28,5.5,42,2023,c(4.849416, 52.363108)
"78","Jacket","running",2023-10-16 06:09:29,5.5,42,2023,c(4.849363, 52.363107)
"79","Jacket","running",2023-10-16 06:09:31,5.5,42,2023,c(4.849307, 52.363101)
"80","Jacket","running",2023-10-16 06:09:32,5.5,42,2023,c(4.849245, 52.363087)
"81","Jacket","running",2023-10-16 06:09:33,5.5,42,2023,c(4.849199, 52.363074)
"82","Jacket","running",2023-10-16 06:09:34,5.5,42,2023,c(4.849143, 52.363068)
"83","Jacket","running",2023-10-16 06:09:35,5.4,42,2023,c(4.849088, 52.363069)
"84","Jacket","running",2023-10-16 06:09:36,5.4,42,2023,c(4.849038, 52.363072)
"85","Jacket","running",2023-10-16 06:09:37,5.4,42,2023,c(4.848985, 52.363075)
"86","Jacket","running",2023-10-16 06:09:39,5.4,42,2023,c(4.848935, 52.363082)
"87","Jacket","running",2023-10-16 06:09:40,5.4,42,2023,c(4.848886, 52.363087)
