"","act_id","act_date","act_name","act_mins","total_km","ele_gain","av_km_time"
"1",22,"16.02.21","Stretford - Jackson's Boat - Home",31.62,5.72,16,5.53
"2",23,"19.02.21","Water Park - Jackson's Boat - Home",33.83,6.09,16,5.56
"3",25,"05.03.21","Blair Witch Vibes",28.7,5.33,18,5.38
"4",26,"10.03.21","Stretford meander",30.28,5.72,21,5.29
"5",27,"13.03.21","Misjudged bridge situation",35.18,6.74,25,5.22
"6",29,"20.03.21","Charlie Don't Surf",34.23,6.21,17,5.51
"7",32,"24.03.21","Final run",55.65,10.04,25,5.54
"8",33,"30.03.21","Jog back from test centre",18.28,3.59,11,5.09
"9",34,"31.03.21","Misjudged bridge situation 2",81.28,11.58,9,7.02
"10",35,"04.04.21","Blimey",38.7,7.81,23,4.96
"11",36,"10.04.21","Morning run",21.53,4.37,10,4.93
"12",37,"18.04.21","First city run",29.1,5.67,10,5.13
"13",38,"22.04.21","Vondel run",25.65,5.1,9,5.03
"14",39,"29.04.21","Rembrandt run",33.52,6.85,24,4.89
"15",40,"11.05.21","Rembrandt run",23.25,4.82,20,4.82
"16",66,"03.09.21","Tide's out legs out",37.65,6.66,12,5.65
"17",67,"11.09.21","Hilbre",43.98,7.16,37,6.14
"18",68,"19.09.21","Rembrandt run",26.12,5.51,18,4.74
"19",69,"25.09.21","Rembrandt run",39.1,7.51,26,5.21
"20",72,"30.09.21","Roman",16.53,3.58,7,4.62
"21",74,"03.10.21","PT",20.52,3.43,12,5.98
"22",75,"04.10.21","Night 5",24.23,5.05,12,4.8
"23",76,"08.10.21","Following the lights ",24.43,5.15,16,4.74
"24",77,"09.10.21","PT",25.25,4.17,13,6.06
"25",78,"13.10.21","Night 5",29.1,5.72,20,5.09
"26",79,"16.10.21","Rembrandt run",27.18,5.98,20,4.55
"27",80,"18.10.21","PT",32.12,5.07,19,6.33
"28",81,"21.10.21","Evening 10",52.63,10.1,36,5.21
"29",83,"25.10.21","PT",30.67,5.06,19,6.06
"30",84,"27.10.21","PT",31.1,5.11,14,6.09
"31",85,"29.10.21","Sloterplas 10",51.3,10.25,22,5
"32",86,"01.11.21","Rembrandt run",41.12,8.01,24,5.13
"33",87,"04.11.21","PT",28.37,5.06,17,5.61
"34",88,"06.11.21","Porridge",87.33,16.26,32,5.37
"35",89,"10.11.21","Rembrandt recovery",23.27,4.38,14,5.31
"36",90,"17.11.21","Rembrandt run",26.73,5.43,19,4.92
"37",93,"30.11.21","Knee test",30.93,5.94,17,5.21
"38",94,"09.12.21","Kneed knees",25.55,5.06,16,5.05
"39",95,"16.12.21","Dune run",30.78,5.52,10,5.58
"40",96,"24.12.21","Explore",29.6,3.92,108,7.55
"41",97,"26.12.21","Hill climber ",28.97,5.09,156,5.69
"42",98,"28.12.21","Explore turbo",22.7,3.94,111,5.76
"43",99,"02.01.22","PT",20.13,3.46,12,5.82
"44",100,"05.01.22","Rembrandt run",26.92,5.21,18,5.17
"45",101,"09.01.22","Combo",47.17,8.95,21,5.27
"46",102,"16.01.22","Sloterplas 10",53.55,10.19,23,5.26
"47",103,"20.01.22","Night run",27.38,5.12,16,5.35
"48",104,"22.01.22","Rembrandt run",24.73,5.25,19,4.71
"49",105,"26.01.22","Evening run",26.87,5.25,18,5.12
"50",106,"29.01.22","Sloterplas 10",50.1,10.16,32,4.93
"51",107,"03.02.22","Evening run",25.07,5.11,15,4.91
"52",108,"06.02.22","Rembrandt run",24.77,5.04,19,4.91
"53",109,"08.02.22","West run",40.47,8.08,27,5.01
"54",110,"12.02.22","West 10",53.22,10.48,29,5.08
"55",111,"15.02.22","Rembrandt run",22.57,5.03,18,4.49
"56",112,"23.02.22","Lunchtime run",16,3.22,11,4.97
"57",113,"25.02.22","Morning run",24.75,5.14,21,4.82
"58",115,"28.02.22","West run",41.42,8.03,27,5.16
"59",116,"01.03.22","Lunchtime run",14.05,3,10,4.68
"60",117,"12.03.22","Spring",25.32,5.16,19,4.91
"61",119,"16.03.22","Sandy",24.68,5.03,18,4.91
"62",120,"19.03.22","Rembrandt run",40.48,7.78,27,5.2
"63",121,"21.03.22","Morning run",15.33,2.85,9,5.38
"64",124,"27.03.22","Evening run",16.43,3.02,9,5.44
"65",125,"06.04.22","Back to it",33.18,6.4,19,5.18
"66",126,"15.04.22","Afternoon run",12.15,2.27,7,5.35
"67",128,"18.04.22","Sloterplas 10",51.45,10.19,27,5.05
"68",129,"20.04.22","Cake",36.1,7.09,20,5.09
"69",130,"27.04.22","Rembrandt run",25.22,5.02,18,5.02
"70",134,"08.05.22","Sunday run",20.52,4.02,14,5.1
"71",135,"09.05.22","Morning run",12.73,2.55,9,4.99
"72",136,"14.05.22","West meander ",29.15,5.8,16,5.03
"73",138,"16.05.22","PT",13.2,2.36,7,5.59
"74",139,"20.05.22","Run",12.77,2.63,9,4.85
"75",140,"21.05.22","Sloterplas 10",53.88,10.08,23,5.35
"76",141,"25.05.22","Rembrandt run",27.37,5.01,18,5.46
"77",143,"29.05.22","Rembrandt run",25.25,5.25,18,4.81
"78",144,"04.06.22","West",35.17,7.12,17,4.94
"79",145,"12.06.22","Rembrandt run",21.6,4.51,15,4.79
"80",147,"10.07.22","Urban trail series ",36.95,6.45,23,5.73
"81",148,"27.07.22","Heal the heel",17.55,3.4,11,5.16
"82",150,"01.08.22","Rembrandt run",24.92,4.34,14,5.74
"83",151,"05.08.22","Alright then",24.47,5.04,16,4.85
"84",152,"10.08.22","Toasty ",30.18,6.03,16,5.01
"85",153,"14.08.22","West",37.05,7.22,20,5.13
"86",154,"19.08.22","Westish",25.5,5.44,14,4.69
"87",155,"22.08.22","Blimey",26.57,5.13,129,5.18
"88",156,"26.08.22","Jogaroo",15.7,3.47,13,4.52
"89",157,"01.09.22","West 10",48.28,10.12,27,4.77
"90",158,"11.09.22","Pancakes",63.33,12.86,32,4.92
"91",159,"18.09.22","Summit attempt ",26,4.16,116,6.25
"92",160,"25.09.22","Paros 5",33.9,5.79,163,5.85
"93",161,"29.09.22","West (pt1)",8.08,1.64,4,4.93
"94",162,"29.09.22","West (pt2)",35.65,7.37,18,4.84
"95",163,"03.10.22","Rembrandt run",22.2,4.62,17,4.81
"96",164,"06.10.22","West",43.18,8.22,31,5.25
"97",165,"08.10.22","Ginger cake",85.43,16.56,47,5.16
"98",166,"13.10.22","Rembrandt run",21.02,4.34,15,4.84
"99",167,"16.10.22","Amsterdam half",106.42,21.98,70,4.84
"100",168,"30.10.22","Rembrandt run ",22.6,4.46,16,5.07
"101",169,"02.11.22","West ",37.88,7.81,24,4.85
"102",170,"05.11.22","Rembrandt run ",24.57,5.11,20,4.81
"103",171,"09.11.22","West",31.2,7.24,25,4.31
"104",172,"11.11.22","Rembrandt run",22.2,4.48,17,4.96
"105",173,"15.11.22","West",28.17,6.09,17,4.63
"106",174,"15.11.22","West finish ",5.15,1.11,5,4.64
"107",175,"19.11.22","West",31.87,7.06,19,4.51
"108",176,"22.11.22","PT",40.63,7.06,25,5.76
"109",177,"24.11.22","Rembrandt run",31.65,5.88,20,5.38
"110",178,"27.11.22","West 10ish",56.1,11.23,39,5
"111",179,"03.12.22","West 10ish",50.78,10.92,29,4.65
"112",180,"06.12.22","West meander ",29.72,6.18,21,4.81
"113",181,"08.12.22","West / Sloterplas ",38.8,8.22,25,4.72
"114",182,"13.12.22","Canal loop",28.1,5.71,19,4.92
"115",183,"17.12.22","West / Sloterplas ",53.48,10.98,32,4.87
"116",184,"23.12.22","Wirral",82.3,15.64,33,5.26
"117",185,"28.12.22","Windy bastard ",23.65,4.67,152,5.06
"118",186,"30.12.22","LPA (pt1)",7.35,1.33,45,5.53
"119",187,"30.12.22","LPA (pt2)",49.72,9.77,139,5.09
"120",188,"04.01.23","Rembrandt run",21.73,4.74,18,4.59
"121",189,"08.01.23","Egmond half ",113.02,21.85,89,5.17
"122",190,"18.01.23","Back to it ",16.02,3.44,11,4.66
"123",191,"22.01.23","Rembrandt run",28.62,4.75,16,6.02
"124",194,"04.02.23","Rembrandt run",16.45,3.99,15,4.12
"125",195,"05.02.23","PT",40.65,7.38,27,5.51
"126",196,"08.02.23","Rembrandt run",18.65,4.23,13,4.41
"127",197,"12.02.23","Rembrandt run",12.08,2.95,11,4.1
"128",198,"07.03.23","Rembrandt run return ",17.6,3.92,16,4.49
"129",199,"11.03.23","Rembrandt run",29.93,6.36,20,4.71
"130",200,"16.03.23","Westish",25.85,5.87,16,4.4
"131",201,"19.03.23","Urban pickle trail series ",101.98,14.03,41,7.27
"132",202,"23.03.23","Bats",14.32,2.38,8,6.02
"133",203,"26.03.23","Zandvoort ",72.52,12.35,102,5.87
"134",204,"24.07.23","Chart",18.23,3.16,38,5.77
"135",205,"24.07.23","Chart 2",4.78,0.85,12,5.63
"136",207,"03.10.23","Come on, legs",15.75,2.85,10,5.53
"137",208,"07.10.23","Michael Ketone",16.98,3.02,10,5.62
"138",1,"16.10.23","Jacket",24.25,4.31,15,5.63
"139",2,"17.10.23","PT",14.43,2.2,7,6.56
"140",3,"21.10.23","Bugger this",15.73,3.02,10,5.21
"141",4,"25.10.23","The Heel Strike's Back",20.13,4.1,14,4.91
"142",5,"30.10.23","Rembrandt run",21.63,4.32,15,5.01
